Rk,G,Date,Unnamed: 3_level_1,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 24_level_1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Team,DRB
1,1,2018-10-17,@,NYK,L,107,126,41,0.38888888888888884,0.4876543209876544,10,0.4565217391304347,0.29372197309417053,15,0.30952380952380953,0.7734056987788331,0.25,45,0.2692307692307693,0.35000000000000003,0.15789473684210525,0.9130434782608695,0.7241379310344829,,45,99,0.455,12,33,0.364,24,31,0.774,10,46,21,12,6,15,23,ATL,0.5862068965517241
2,2,2018-10-19,@,MEM,L,117,131,41,0.2592592592592593,0.6049382716049382,14,0.32608695652173914,0.7174887892376685,21,0.738095238095238,0.43419267299864306,0.45000000000000007,40,0.576923076923077,0.45,0.2631578947368421,0.6956521739130435,0.7586206896551724,,44,81,0.543,13,26,0.5,30,43,0.698,7,41,32,9,4,16,29,ATL,0.27586206896551724
3,3,2018-10-21,@,CLE,W,133,111,48,0.537037037037037,0.5925925925925924,22,0.6956521739130433,0.7197309417040361,15,0.33333333333333326,0.7137042062415198,0.35,44,0.7692307692307693,0.45,0.3684210526315789,0.3913043478260869,0.41379310344827586,,46,99,0.465,10,27,0.37,9,14,0.643,15,49,23,5,2,18,25,ATL,0.48275862068965514
4,4,2018-10-24,,DAL,W,111,104,37,0.40740740740740744,0.3364197530864196,15,0.5,0.5560538116591929,22,0.619047619047619,0.6065128900949796,0.4,54,0.6153846153846155,0.30000000000000004,0.3157894736842105,0.5217391304347826,0.5862068965517242,,38,91,0.418,12,40,0.3,16,26,0.615,9,52,25,7,9,17,27,ATL,0.793103448275862
5,5,2018-10-27,,CHI,L,85,97,27,0.2777777777777777,0.07098765432098764,12,0.5434782608695652,0.34304932735426014,19,0.4285714285714285,0.7639077340569878,0.45000000000000007,48,0.3076923076923077,0.45,0.42105263157894735,0.8260869565217391,0.13793103448275862,,36,83,0.434,12,33,0.364,13,16,0.813,8,52,25,14,6,20,21,ATL,0.5517241379310344
6,6,2018-10-29,@,PHI,L,92,113,35,0.462962962962963,0.22839506172839508,8,0.4782608695652174,0.15470852017937226,14,0.38095238095238093,0.548168249660787,0.4,47,0.3076923076923077,0.5,0.15789473684210525,0.4347826086956521,0.3103448275862069,,41,99,0.414,14,47,0.298,17,18,0.944,16,64,33,7,9,19,22,ATL,0.5517241379310344
7,7,2018-10-30,@,CLE,L,114,136,44,0.2407407407407407,0.7376543209876544,15,0.4347826086956521,0.6322869955156951,11,0.2857142857142857,0.5210312075983717,0.20000000000000004,39,0.5,0.30000000000000004,0.42105263157894735,0.8260869565217391,0.6896551724137931,,45,90,0.5,13,25,0.52,33,43,0.767,13,48,23,13,1,13,20,ATL,0.4137931034482759
8,8,2018-11-01,,SAC,L,115,146,42,0.33333333333333326,0.5709876543209876,8,0.34782608695652173,0.24887892376681625,23,0.6904761904761905,0.5603799185888738,0.4,43,0.5384615384615384,0.30000000000000004,0.3157894736842105,0.8260869565217391,0.6551724137931034,,53,98,0.541,14,35,0.4,26,32,0.813,10,46,38,14,3,14,29,ATL,0.4137931034482759
9,9,2018-11-03,,MIA,W,123,118,46,0.35185185185185186,0.6944444444444445,13,0.3695652173913043,0.5807174887892379,18,0.4285714285714285,0.7055630936227952,0.30000000000000004,37,0.8076923076923078,0.55,0.3684210526315789,0.5652173913043478,0.41379310344827586,,41,85,0.482,16,40,0.4,20,26,0.769,13,41,27,6,6,17,20,ATL,0.27586206896551724
10,10,2018-11-06,@,CHO,L,102,113,41,0.2962962962962963,0.5679012345679012,6,0.32608695652173914,0.11883408071748885,14,0.30952380952380953,0.6987788331071914,0.25,37,0.3846153846153847,0.65,0.47368421052631576,0.8260869565217391,0.3103448275862069,,45,92,0.489,13,31,0.419,10,18,0.556,8,43,27,9,4,21,16,ATL,0.31034482758620696
