season,week,date,time_et,neutral,away,home,score_away,score_home,first_downs_away,first_downs_home,first_downs_from_passing_away,first_downs_from_passing_home,first_downs_from_rushing_away,first_downs_from_rushing_home,first_downs_from_penalty_away,first_downs_from_penalty_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,plays_away,plays_home,drives_away,drives_home,yards_away,yards_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,sacks_num_away,sacks_yards_away,sacks_num_home,sacks_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,redzone_comp_away,redzone_att_away,redzone_comp_home,redzone_att_home,fumbles_away,fumbles_home,interceptions_away,interceptions_home,def_st_td_away,def_st_td_home,possession_away,possession_home
2020,1,2020-09-10,8:20 PM,False,Texans,Chiefs,20,34,21,28,13,16,8,9,0,3,4,10,7,13,1,1,1,1,58,67,9,9,360,369,20,32,242,24,32,203,4,11,1,8,22,118,34,166,5,37,1,5,3,3,3,5,0,0,1,0,0,0,25:13,34:47
2020,1,2020-09-13,1:00 PM,False,Seahawks,Falcons,38,25,22,28,15,23,6,4,1,1,3,9,7,14,1,1,0,4,58,77,11,12,383,506,31,35,299,37,54,434,3,23,2,16,20,84,21,72,6,46,6,72,4,4,3,4,0,1,0,1,0,0,30:36,29:24
2020,1,2020-09-13,1:00 PM,False,Jets,Bills,17,27,15,31,8,17,4,8,3,6,4,11,7,14,0,0,1,1,53,81,11,11,254,404,21,35,202,33,46,306,3,13,3,6,15,52,32,98,9,95,7,79,1,2,3,8,1,2,1,0,0,0,18:43,41:17
2020,1,2020-09-13,1:00 PM,False,Bears,Lions,27,23,26,25,15,14,7,7,4,4,2,11,6,16,1,2,0,0,65,72,12,12,363,426,20,36,214,24,42,288,1,28,1,9,28,149,29,138,6,48,8,77,2,4,2,5,0,0,0,1,0,0,29:05,30:55
2020,1,2020-09-13,1:00 PM,False,Packers,Vikings,43,34,31,25,17,12,11,10,3,3,6,11,3,6,1,2,0,1,76,49,10,10,522,382,32,44,364,19,25,248,0,0,2,11,32,158,22,134,6,63,5,20,3,6,3,4,0,0,0,1,0,0,41:16,18:44
2020,1,2020-09-13,1:00 PM,False,Dolphins,Patriots,11,21,20,29,11,8,6,18,3,3,4,11,5,10,0,0,1,1,58,63,9,9,269,357,20,30,182,15,19,140,1,9,2,15,27,87,42,217,4,35,3,47,1,2,3,4,0,1,3,0,0,0,25:11,34:49
2020,1,2020-09-13,1:00 PM,False,Eagles,Commanders,17,27,19,18,13,11,3,5,3,2,5,14,5,18,0,2,1,2,67,70,15,15,265,239,24,42,208,17,31,159,8,62,3,19,17,57,36,80,3,20,7,55,1,2,3,4,1,0,2,0,0,0,30:39,29:21
2020,1,2020-09-13,1:00 PM,False,Raiders,Panthers,34,30,23,22,11,13,10,8,2,1,6,11,7,13,0,0,1,2,61,65,9,10,372,388,22,30,239,22,34,259,0,0,1,10,31,133,30,129,3,40,5,65,3,4,2,3,0,0,0,0,0,0,31:12,28:48
2020,1,2020-09-13,1:00 PM,False,Colts,Jaguars,20,27,27,17,17,11,5,4,5,2,4,12,5,10,1,3,0,0,69,47,9,10,445,241,36,46,357,19,20,150,1,6,4,23,22,88,23,91,5,80,6,61,2,5,2,2,0,0,2,0,0,0,33:23,26:37
2020,1,2020-09-13,1:00 PM,False,Browns,Ravens,6,38,20,23,10,16,6,7,4,0,3,12,6,11,0,3,0,0,68,58,11,11,306,381,21,39,168,21,26,270,2,21,2,14,27,138,30,111,8,80,7,66,1,1,5,6,2,1,1,0,0,0,30:02,29:58
2020,1,2020-09-13,4:05 PM,False,Chargers,Bengals,16,13,19,19,10,14,7,5,2,0,6,16,6,14,0,2,0,0,71,67,13,12,362,295,16,30,207,23,36,173,2,1,3,20,39,155,28,122,6,35,7,44,1,3,0,1,0,1,0,1,0,0,30:10,29:50
2020,1,2020-09-13,4:25 PM,False,Buccaneers,Saints,23,34,23,18,10,10,7,5,6,3,5,13,5,15,1,1,0,1,65,66,13,13,310,271,23,36,224,19,31,189,3,15,1,9,26,86,34,82,9,103,6,119,3,3,3,6,1,0,2,0,0,2,28:37,31:23
2020,1,2020-09-13,4:25 PM,False,Cardinals,49ers,24,20,29,18,12,10,13,6,4,2,7,14,2,11,0,0,0,2,78,61,12,11,404,366,26,40,224,19,33,243,2,6,3,16,36,180,25,123,9,102,5,53,2,2,1,4,0,0,1,0,0,0,31:26,28:34
2020,1,2020-09-13,8:20 PM,False,Cowboys,Rams,17,20,24,23,14,12,9,11,1,0,3,12,9,17,1,3,1,1,69,72,10,11,380,422,25,39,244,20,31,269,3,22,1,6,27,136,40,153,7,50,5,34,2,4,2,5,0,0,0,1,0,0,24:22,35:38
2020,1,2020-09-14,7:15 PM,False,Steelers,Giants,26,16,19,20,14,16,5,2,0,2,8,15,8,15,1,1,1,1,64,64,10,11,349,291,21,32,208,26,41,262,2,21,3,17,30,141,20,29,3,21,4,25,3,4,1,3,1,0,0,2,0,0,31:44,28:16
2020,1,2020-09-14,10:10 PM,False,Titans,Broncos,16,14,26,19,17,12,6,6,3,1,7,16,3,9,1,1,0,1,78,59,10,11,377,323,29,43,247,22,33,216,1,2,0,0,34,130,26,107,5,37,5,56,2,3,2,3,0,1,0,0,0,0,32:40,27:20
2020,2,2020-09-17,8:20 PM,False,Bengals,Browns,30,35,30,23,20,9,7,14,3,0,8,18,5,8,5,5,1,2,88,58,9,10,353,434,37,61,285,16,23,219,3,31,0,0,24,68,35,215,4,45,8,76,2,4,4,5,1,0,0,1,0,0,33:39,26:21
2020,2,2020-09-20,1:00 PM,False,Panthers,Buccaneers,17,31,24,20,18,11,5,5,1,4,6,11,5,11,1,2,0,0,71,57,12,11,427,339,33,42,340,23,35,217,5,27,0,0,24,87,22,122,9,77,5,37,2,4,2,3,2,1,2,1,0,0,34:32,25:28
2020,2,2020-09-20,1:00 PM,False,Broncos,Steelers,21,26,23,19,12,15,5,4,6,0,5,15,2,12,0,2,1,2,72,64,13,14,319,410,19,39,215,29,41,301,7,61,1,10,26,104,22,109,4,30,10,89,1,4,1,3,1,1,1,1,0,0,30:31,29:29
2020,2,2020-09-20,1:00 PM,False,Rams,Eagles,37,19,30,25,17,13,11,11,2,1,7,12,7,12,1,1,0,1,67,69,10,10,449,363,20,27,258,26,43,242,1,9,0,0,39,191,26,121,4,24,5,30,4,5,2,3,1,1,0,2,0,0,31:13,28:47
2020,2,2020-09-20,1:00 PM,False,49ers,Jets,31,13,17,17,12,10,3,5,2,2,7,13,5,14,0,0,0,2,59,62,11,11,359,277,22,27,177,21,32,173,3,25,1,6,29,182,29,104,5,59,5,65,3,3,0,2,0,0,1,0,0,0,32:13,27:47
2020,2,2020-09-20,1:00 PM,False,Bills,Dolphins,31,28,23,28,15,20,7,6,1,2,5,10,5,12,0,0,0,1,59,72,12,11,523,410,24,35,411,31,47,311,1,4,3,17,23,112,22,99,6,55,3,20,2,2,3,5,1,0,0,0,0,0,28:55,31:05
2020,2,2020-09-20,1:00 PM,False,Jaguars,Titans,30,33,30,23,20,12,9,7,1,4,10,14,7,11,1,1,0,0,74,59,9,10,480,354,30,45,315,18,24,231,2,24,1,8,27,165,34,123,8,60,4,30,4,5,4,4,0,0,2,0,0,0,33:22,26:38
2020,2,2020-09-20,1:00 PM,False,Lions,Packers,21,42,19,26,10,13,8,9,1,4,6,12,6,12,0,1,1,1,58,66,11,10,307,488,20,33,218,18,30,229,4,26,1,11,21,89,35,259,7,70,8,60,2,2,3,5,0,0,1,0,0,1,25:14,34:46
2020,2,2020-09-20,1:00 PM,False,Falcons,Cowboys,39,40,22,33,15,20,5,9,2,4,8,17,7,13,2,2,0,2,72,81,12,14,380,570,24,37,267,34,49,445,1,6,1,5,34,113,31,125,8,51,7,75,2,4,5,6,0,3,0,0,0,0,33:48,26:12
2020,2,2020-09-20,1:00 PM,False,Giants,Bears,13,17,22,18,15,11,4,7,3,0,3,13,9,16,3,3,1,1,62,64,10,9,295,304,25,40,220,18,28,169,4,21,4,21,18,75,32,135,3,10,5,48,1,3,1,2,1,0,1,2,0,0,25:31,34:29
2020,2,2020-09-20,1:00 PM,False,Vikings,Colts,11,28,12,24,5,10,3,11,4,3,2,9,3,11,0,0,1,1,47,67,10,10,175,354,11,26,95,19,25,203,3,18,2,11,18,80,40,151,6,45,9,93,1,2,2,4,0,0,3,1,0,0,21:35,38:25
2020,2,2020-09-20,4:05 PM,False,Commanders,Cardinals,15,30,19,22,10,13,7,8,2,1,4,12,7,17,1,1,2,2,60,73,11,12,316,438,19,33,199,26,38,278,4,24,3,8,23,117,32,160,6,42,11,97,1,3,3,6,2,0,0,1,0,0,26:15,33:45
2020,2,2020-09-20,4:25 PM,False,Ravens,Texans,33,16,23,18,11,15,11,2,1,1,5,14,3,9,2,2,0,1,65,57,9,10,407,304,18,24,177,25,36,253,4,27,4,22,37,230,17,51,3,21,4,22,1,3,1,2,0,1,0,1,2,0,34:51,25:09
2020,2,2020-09-20,4:25 PM,False,Chiefs,Chargers,23,20,23,28,15,14,8,13,0,1,7,15,6,13,1,1,1,2,70,79,10,10,414,479,27,47,289,22,33,296,1,13,2,15,22,125,44,183,11,90,6,40,1,2,2,3,0,0,0,1,0,0,28:38,39:27
2020,2,2020-09-20,8:20 PM,False,Patriots,Seahawks,30,35,29,22,22,11,5,10,2,1,7,12,3,7,1,1,0,0,70,60,10,10,464,429,30,44,397,21,28,275,1,0,2,13,25,67,30,154,2,12,9,68,3,5,2,2,0,0,1,1,1,0,28:41,31:19
2020,2,2020-09-21,8:15 PM,False,Saints,Raiders,24,34,26,28,17,18,8,5,1,5,7,11,10,17,0,0,2,2,57,76,9,9,424,377,26,38,312,28,38,261,0,0,3,23,19,112,35,116,10,129,3,13,3,4,3,4,0,1,1,0,0,0,23:42,36:18
2020,3,2020-09-24,8:20 PM,False,Dolphins,Jaguars,31,13,23,22,9,14,10,5,4,3,7,13,3,10,1,1,0,3,57,63,10,10,294,318,18,20,156,30,42,246,1,4,4,29,36,138,17,72,6,51,8,63,4,5,2,2,0,1,0,1,0,0,34:22,25:38
2020,3,2020-09-27,1:00 PM,False,Bears,Falcons,30,26,24,22,14,13,8,6,2,3,4,15,4,13,1,2,0,0,78,65,14,14,437,371,29,51,307,19,38,227,2,9,2,11,25,130,25,144,10,80,7,75,2,4,2,4,0,0,2,1,0,0,34:50,25:10
2020,3,2020-09-27,1:00 PM,False,Rams,Bills,32,35,28,23,15,14,13,8,0,1,6,10,5,10,0,1,1,1,66,58,10,9,478,375,23,32,311,24,33,274,2,10,4,37,32,167,21,101,3,30,5,55,3,4,5,5,1,1,1,1,0,0,32:12,27:48
2020,3,2020-09-27,1:00 PM,False,Commanders,Browns,20,34,19,19,12,12,6,6,1,1,5,11,5,14,1,1,1,1,62,62,12,11,309,300,21,37,206,16,23,142,3,18,2,14,22,103,37,158,4,40,6,50,3,3,3,4,2,0,3,0,0,0,26:23,33:37
2020,3,2020-09-27,1:00 PM,False,Titans,Vikings,31,30,23,22,13,11,10,10,0,1,3,13,4,10,1,1,0,1,73,62,13,13,444,464,23,37,310,16,27,238,2,11,2,13,34,134,33,226,4,45,3,20,2,4,2,2,0,1,1,2,0,0,31:32,28:28
2020,3,2020-09-27,1:00 PM,False,Raiders,Patriots,20,36,22,25,13,8,7,14,2,3,3,9,3,11,0,0,0,0,56,68,11,11,375,406,24,32,249,17,28,156,2,12,2,6,22,126,38,250,6,40,2,33,2,5,3,6,3,0,0,1,0,2,25:21,34:39
2020,3,2020-09-27,1:00 PM,False,49ers,Giants,36,9,29,13,19,8,7,3,3,2,8,12,4,10,0,0,1,2,73,49,9,9,420,231,25,36,327,17,32,165,2,16,2,14,35,93,15,66,6,45,5,28,4,6,0,0,0,2,0,1,0,0,39:44,20:16
2020,3,2020-09-27,1:00 PM,False,Bengals,Eagles,23,23,24,27,19,11,2,12,3,4,3,13,10,21,0,0,0,0,70,86,15,13,304,378,31,44,256,29,47,206,8,56,3,19,18,48,36,172,9,73,11,93,2,4,1,2,0,0,0,2,0,0,32:16,37:44
